date,selected,entering,exiting,n_trades,transaction_cost,gross_return,net_return,proba_selected,adj_proba_selected,weight_per_stock
2023-04-28,JPM | META,JPM,GOOGL,2,0.001000,-0.021113,-0.022113,"{'JPM': np.float64(0.9), 'META': np.float64(1.0)}","{'JPM': np.float64(0.9), 'META': np.float64(1.5)}",0.500000
2023-05-05,AMZN | JPM,AMZN,META,2,0.001000,0.012115,0.011115,"{'AMZN': np.float64(1.0), 'JPM': np.float64(0.8)}","{'AMZN': np.float64(1.0), 'JPM': np.float64(1.3)}",0.500000
2023-05-12,BRK-B | META,BRK-B | META,AMZN | JPM,4,0.002000,0.037547,0.035547,"{'BRK-B': np.float64(0.9), 'META': np.float64(1.0)}","{'BRK-B': np.float64(0.9), 'META': np.float64(1.0)}",0.500000
2023-05-19,BRK-B | TSLA,TSLA,META,2,0.001000,0.021350,0.020350,"{'BRK-B': np.float64(0.5), 'TSLA': np.float64(1.0)}","{'BRK-B': np.float64(1.0), 'TSLA': np.float64(1.0)}",0.500000
2023-05-26,BRK-B | GOOGL,GOOGL,TSLA,2,0.001000,0.014090,0.013090,"{'BRK-B': np.float64(0.8), 'GOOGL': np.float64(1.0)}","{'BRK-B': np.float64(1.3), 'GOOGL': np.float64(1.0)}",0.500000
2023-06-02,BRK-B | TSLA,TSLA,GOOGL,2,0.001000,0.079925,0.078925,"{'BRK-B': np.float64(0.7), 'TSLA': np.float64(1.0)}","{'BRK-B': np.float64(1.2), 'TSLA': np.float64(1.0)}",0.500000
2023-06-09,META | TSLA,META,BRK-B,2,0.001000,0.063308,0.062308,"{'META': np.float64(1.0), 'TSLA': np.float64(0.6)}","{'META': np.float64(1.0), 'TSLA': np.float64(1.1)}",0.500000
2023-06-16,META | TSLA,—,—,0,0.000000,0.006193,0.006193,"{'META': np.float64(0.7), 'TSLA': np.float64(0.55)}","{'META': np.float64(1.2), 'TSLA': np.float64(1.05)}",0.500000
2023-06-23,JNJ | TSLA,JNJ,META,2,0.001000,0.010195,0.009195,"{'JNJ': np.float64(1.0), 'TSLA': np.float64(0.9)}","{'JNJ': np.float64(1.0), 'TSLA': np.float64(1.4)}",0.500000
2023-06-30,JNJ | META,META,TSLA,2,0.001000,-0.012755,-0.013755,"{'JNJ': np.float64(0.65), 'META': np.float64(1.0)}","{'JNJ': np.float64(1.15), 'META': np.float64(1.0)}",0.500000
2023-07-07,JNJ | META,—,—,0,0.000000,0.033510,0.033510,"{'JNJ': np.float64(0.8), 'META': np.float64(1.0)}","{'JNJ': np.float64(1.3), 'META': np.float64(1.5)}",0.500000
2023-07-14,JPM | TSLA,JPM | TSLA,JNJ | META,4,0.002000,-0.020663,-0.022663,"{'JPM': np.float64(0.9), 'TSLA': np.float64(1.0)}","{'JPM': np.float64(0.9), 'TSLA': np.float64(1.0)}",0.500000
2023-07-21,META | TSLA,META,JPM,2,0.001000,0.065394,0.064394,"{'META': np.float64(0.9), 'TSLA': np.float64(1.0)}","{'META': np.float64(0.9), 'TSLA': np.float64(1.5)}",0.500000
2023-07-28,META | V,V,TSLA,2,0.001000,-0.015787,-0.016787,"{'META': np.float64(1.0), 'V': np.float64(0.9)}","{'META': np.float64(1.5), 'V': np.float64(0.9)}",0.500000
