date,selected,entering,exiting,n_trades,transaction_cost,gross_return,net_return,proba_selected,adj_proba_selected,weight_per_stock
2024-06-28,JNJ | TSLA,JNJ,AMZN,2,0.001000,0.136631,0.135631,"{'JNJ': np.float32(0.95), 'TSLA': np.float32(0.95)}","{'JNJ': np.float32(0.95), 'TSLA': np.float32(0.99)}",0.500000
2024-07-05,AAPL | TSLA,AAPL,JNJ,2,0.001000,0.002738,0.001738,"{'AAPL': np.float32(1.0), 'TSLA': np.float32(0.9)}","{'AAPL': np.float32(1.0), 'TSLA': np.float32(0.94)}",0.500000
2024-07-12,GOOGL | JNJ,GOOGL | JNJ,AAPL | TSLA,4,0.002000,-0.003973,-0.005973,"{'GOOGL': np.float32(0.9), 'JNJ': np.float32(1.0)}","{'GOOGL': np.float32(0.9), 'JNJ': np.float32(1.0)}",0.500000
2024-07-19,AAPL | JNJ,AAPL,GOOGL,2,0.001000,0.005077,0.004077,"{'AAPL': np.float32(1.0), 'JNJ': np.float32(0.9)}","{'AAPL': np.float32(1.0), 'JNJ': np.float32(0.94)}",0.500000
2024-07-26,AAPL | V,V,JNJ,2,0.001000,0.018079,0.017079,"{'AAPL': np.float32(1.0), 'V': np.float32(0.9)}","{'AAPL': np.float32(1.04), 'V': np.float32(0.9)}",0.500000
2024-08-02,JNJ | V,JNJ,AAPL,2,0.001000,-0.022537,-0.023537,"{'JNJ': np.float32(1.0), 'V': np.float32(0.9)}","{'JNJ': np.float32(1.0), 'V': np.float32(0.94)}",0.500000
2024-08-09,AAPL | V,AAPL,JNJ,2,0.001000,0.037955,0.036955,"{'AAPL': np.float32(1.0), 'V': np.float32(0.9)}","{'AAPL': np.float32(1.0), 'V': np.float32(0.94)}",0.500000
2024-08-16,AAPL | GOOGL,GOOGL,V,2,0.001000,0.009909,0.008909,"{'AAPL': np.float32(1.0), 'GOOGL': np.float32(0.85)}","{'AAPL': np.float32(1.04), 'GOOGL': np.float32(0.85)}",0.500000
2024-08-23,AAPL | V,V,GOOGL,2,0.001000,0.021456,0.020456,"{'AAPL': np.float32(0.85), 'V': np.float32(1.0)}","{'AAPL': np.float32(0.89), 'V': np.float32(1.0)}",0.500000
2024-08-30,AAPL | JNJ,JNJ,V,2,0.001000,-0.022322,-0.023322,"{'AAPL': np.float32(1.0), 'JNJ': np.float32(0.9)}","{'AAPL': np.float32(1.04), 'JNJ': np.float32(0.9)}",0.500000
2024-09-06,BRK-B | MSFT,BRK-B | MSFT,AAPL | JNJ,4,0.002000,0.023106,0.021106,"{'BRK-B': np.float32(1.0), 'MSFT': np.float32(0.85)}","{'BRK-B': np.float32(1.0), 'MSFT': np.float32(0.85)}",0.500000
2024-09-13,BRK-B | JNJ,JNJ,MSFT,2,0.001000,0.004493,0.003493,"{'BRK-B': np.float32(1.0), 'JNJ': np.float32(0.9)}","{'BRK-B': np.float32(1.04), 'JNJ': np.float32(0.9)}",0.500000
2024-09-20,BRK-B | JNJ,—,—,0,0.000000,-0.006034,-0.006034,"{'BRK-B': np.float32(1.0), 'JNJ': np.float32(0.9)}","{'BRK-B': np.float32(1.04), 'JNJ': np.float32(0.94)}",0.500000
2024-09-27,AMZN | JNJ,AMZN,BRK-B,2,0.001000,-0.007322,-0.008322,"{'AMZN': np.float32(0.8), 'JNJ': np.float32(1.0)}","{'AMZN': np.float32(0.8), 'JNJ': np.float32(1.04)}",0.500000
2024-10-04,BRK-B | MSFT,BRK-B | MSFT,AMZN | JNJ,4,0.002000,-0.001592,-0.003592,"{'BRK-B': np.float32(1.0), 'MSFT': np.float32(0.9)}","{'BRK-B': np.float32(1.0), 'MSFT': np.float32(0.9)}",0.500000
2024-10-11,JPM | V,JPM | V,BRK-B | MSFT,4,0.002000,0.029927,0.027927,"{'JPM': np.float32(1.0), 'V': np.float32(0.9)}","{'JPM': np.float32(1.0), 'V': np.float32(0.9)}",0.500000
2024-10-18,JNJ | V,JNJ,JPM,2,0.001000,-0.028134,-0.029134,"{'JNJ': np.float32(1.0), 'V': np.float32(0.9)}","{'JNJ': np.float32(1.0), 'V': np.float32(0.94)}",0.500000
2024-10-25,GOOGL | V,GOOGL,JNJ,2,0.001000,0.034203,0.033203,"{'GOOGL': np.float32(0.9), 'V': np.float32(1.0)}","{'GOOGL': np.float32(0.9), 'V': np.float32(1.04)}",0.500000
2024-11-01,AMZN | JPM,AMZN | JPM,GOOGL | V,4,0.002000,0.057381,0.055381,"{'AMZN': np.float32(1.0), 'JPM': np.float32(0.9)}","{'AMZN': np.float32(1.0), 'JPM': np.float32(0.9)}",0.500000
2024-11-08,AMZN | BRK-B,BRK-B,JPM,2,0.001000,-0.005965,-0.006965,"{'AMZN': np.float32(0.9), 'BRK-B': np.float32(1.0)}","{'AMZN': np.float32(0.94), 'BRK-B': np.float32(1.0)}",0.500000
2024-11-15,AMZN | JPM,JPM,BRK-B,2,0.001000,-0.006944,-0.007944,"{'AMZN': np.float32(0.9), 'JPM': np.float32(1.0)}","{'AMZN': np.float32(0.94), 'JPM': np.float32(1.0)}",0.500000
2024-11-22,JPM | V,V,AMZN,2,0.001000,0.010678,0.009678,"{'JPM': np.float32(1.0), 'V': np.float32(0.9)}","{'JPM': np.float32(1.04), 'V': np.float32(0.9)}",0.500000
2024-11-29,AAPL | MSFT,AAPL | MSFT,JPM | V,4,0.002000,0.035353,0.033353,"{'AAPL': np.float32(0.9), 'MSFT': np.float32(1.0)}","{'AAPL': np.float32(0.9), 'MSFT': np.float32(1.0)}",0.500000
2024-12-06,AAPL | BRK-B,BRK-B,MSFT,2,0.001000,-0.002498,-0.003498,"{'AAPL': np.float32(1.0), 'BRK-B': np.float32(0.9)}","{'AAPL': np.float32(1.04), 'BRK-B': np.float32(0.9)}",0.500000
2024-12-13,AAPL | V,V,BRK-B,2,0.001000,0.017534,0.016534,"{'AAPL': np.float32(1.0), 'V': np.float32(0.9)}","{'AAPL': np.float32(1.04), 'V': np.float32(0.9)}",0.500000
2024-12-20,GOOGL | V,GOOGL,AAPL,2,0.001000,0.005021,0.004021,"{'GOOGL': np.float32(0.9), 'V': np.float32(1.0)}","{'GOOGL': np.float32(0.9), 'V': np.float32(1.04)}",0.500000
2024-12-27,GOOGL | JPM,JPM,V,2,0.001000,0.001859,0.000859,"{'GOOGL': np.float32(0.9), 'JPM': np.float32(1.0)}","{'GOOGL': np.float32(0.94), 'JPM': np.float32(1.0)}",0.500000
2025-01-03,JNJ | V,JNJ | V,GOOGL | JPM,4,0.002000,-0.018818,-0.020818,"{'JNJ': np.float32(1.0), 'V': np.float32(0.9)}","{'JNJ': np.float32(1.0), 'V': np.float32(0.9)}",0.500000
2025-01-10,JNJ | JPM,JPM,V,2,0.001000,0.057702,0.056702,"{'JNJ': np.float32(1.0), 'JPM': np.float32(0.9)}","{'JNJ': np.float32(1.04), 'JPM': np.float32(0.9)}",0.500000
2025-01-17,JNJ | V,V,JPM,2,0.001000,0.015837,0.014837,"{'JNJ': np.float32(1.0), 'V': np.float32(0.9)}","{'JNJ': np.float32(1.04), 'V': np.float32(0.9)}",0.500000
2025-01-24,JNJ | V,—,—,0,0.000000,0.035717,0.035717,"{'JNJ': np.float32(1.0), 'V': np.float32(0.9)}","{'JNJ': np.float32(1.04), 'V': np.float32(0.94)}",0.500000
2025-01-31,JNJ | META,META,V,2,0.001000,0.021572,0.020572,"{'JNJ': np.float32(1.0), 'META': np.float32(0.9)}","{'JNJ': np.float32(1.04), 'META': np.float32(0.9)}",0.500000
2025-02-07,JPM | META,JPM,JNJ,2,0.001000,0.016932,0.015932,"{'JPM': np.float32(1.0), 'META': np.float32(0.9)}","{'JPM': np.float32(1.0), 'META': np.float32(0.94)}",0.500000
2025-02-14,AAPL | GOOGL,AAPL | GOOGL,JPM | META,4,0.002000,-0.013093,-0.015093,"{'AAPL': np.float32(1.0), 'GOOGL': np.float32(0.9)}","{'AAPL': np.float32(1.0), 'GOOGL': np.float32(0.9)}",0.500000
2025-02-21,BRK-B | GOOGL,BRK-B,AAPL,2,0.001000,0.010543,0.009543,"{'BRK-B': np.float32(1.0), 'GOOGL': np.float32(0.9)}","{'BRK-B': np.float32(1.0), 'GOOGL': np.float32(0.94)}",0.500000
2025-02-28,BRK-B | MSFT,MSFT,GOOGL,2,0.001000,-0.022355,-0.023355,"{'BRK-B': np.float32(0.9), 'MSFT': np.float32(1.0)}","{'BRK-B': np.float32(0.94), 'MSFT': np.float32(1.0)}",0.500000
